CDSACCNO,precision@k,recall@k,num_test_items,portfolio_size,recommendations
BMS-15657-LI/00,0.0,0.0,1,20,"['UCAR', 'ASHO', 'CTEA', 'CARG', 'KFP', 'LAMB', 'CTHR', 'CALF', 'LION', 'PARA']"
BMS-15683-LI/00,0.0,0.0,1,32,"['ALLI', 'CDB', 'LMF', 'UDPL', 'PINS', 'MARA', 'CINS', 'TSML', 'EXT', 'RWSL']"
BMS-15727-LC/00,0.0,0.0,1,17,"['AHPL', 'BPPL', 'NTB', 'NDB', 'HASU', 'SDB', 'DIST', 'LVEF', 'DOCK', 'BUKI']"
BMS-15729-LC/00,0.0,0.0,1,46,"['AHPL', 'MARA', 'SEYB', 'KHL', 'EDEN', 'CFIN', 'HASU', 'HOPL', 'NTB', 'GRAN']"
BMS-15734-LI/00,0.0,0.0,1,15,"['AHPL', 'RHTL', 'CSF', 'TAFL', 'ACME', 'WAPO', 'LMF', 'NTB', 'PABC', 'CINV']"
BMS-15770-LI/00,0.0,0.0,1,38,"['UDPL', 'BBH', 'INDO', 'GHLL', 'RCH', 'TRAN', 'ONAL', 'RPBH', 'ASIY', 'OFEQ']"
BMS-15796-LI/00,0.0,0.0,1,15,"['TAFL', 'GRAN', 'CWM', 'RGEM', 'CTEA', 'LUMX', 'GLAS', 'MCPL', 'ELPL', 'CHL']"
BMS-15799-LI/01,0.0,0.0,1,16,"['GRAN', 'DIAL', 'BFL', 'HHL', 'MGT', 'TILE', 'HBS', 'MELS', 'NTB', 'CALT']"
BMS-15837-LI/00,0.1,1.0,1,10,"['CONN', 'MGT', 'NDB', 'PABC', 'AHPL', 'BBH', 'HNB', 'GHLL', 'COMB', 'HEXP']"
BMS-15854-LI/00,0.0,0.0,1,12,"['KHC', 'SIGV', 'HARI', 'NEH', 'MRH', 'TANG', 'SELI', 'GOOD', 'MULL', 'ACME']"
BMS-15912-LI/00,0.0,0.0,1,26,"['LCEY', 'SLTL', 'LDEV', 'TAFL', 'TPL', 'RGEM', 'HOPL', 'SIL', 'DIAL', 'CPRT']"
BMS-15915-LI/00,0.0,0.0,1,11,"['UDPL', 'HAPU', 'NIFL', 'PEG', 'ASPH', 'SWAD', 'MEL', 'KZOO', 'PALM', 'HARI']"
BMS-15917-LI/00,0.0,0.0,1,31,"['DIAL', 'HVA', 'LCBF', 'UBC', 'MBSL', 'CALT', 'RAL', 'AMF', 'ACAP', 'DIST']"
BMS-15942-LI/00,0.0,0.0,1,24,"['CTC', 'LION', 'COMB', 'AHUN', 'AHPL', 'SPEN', 'CARG', 'DIAL', 'NEH', 'SEYB']"
BMS-15954-LI/00,0.1,1.0,1,18,"['SEYB', 'MGT', 'NDB', 'HNB', 'CFVF', 'HAYL', 'JINS', 'AHPL', 'COCR', 'COMB']"
BMS-15980-LI/00,0.0,0.0,1,12,"['GHLL', 'LDEV', 'HOPL', 'CTBL', 'UDPL', 'BOPL', 'SLTL', 'RWSL', 'RICH', 'SCAP']"
BMS-15996-LI/00,0.0,0.0,1,14,"['DIST', 'CCS', 'FCT', 'CALT', 'CIC', 'CTC', 'AEL', 'SUN', 'AAIC', 'HELA']"
BMS-16056-LI/00,0.0,0.0,1,18,"['AHPL', 'AFS', 'CALT', 'AMF', 'REEF', 'SHOT', 'LOLC', 'BFL', 'KCAB', 'LMF']"
BMS-16057-LI/00,0.0,0.0,1,21,"['SHOT', 'AHPL', 'TAFL', 'AHUN', 'EDEN', 'HSIG', 'LMF', 'CONN', 'RCH', 'HNB']"
BMS-1607922-NP/00,0.0,0.0,1,13,"['ALLI', 'MBSL', 'UAL', 'RICH', 'CALT', 'AAIC', 'FCT', 'LOFC', 'JINS', 'COOP']"
BMS-16091-LC/00,0.0,0.0,1,13,"['CALT', 'TILE', 'HNB', 'SCAP', 'TPL', 'COCR', 'FCT', 'SLTL', 'AAIC', 'NDB']"
BMS-16092-LC/00,0.0,0.0,1,10,"['AMSL', 'CCS', 'DIAL', 'RAL', 'PLR', 'CIC', 'HBS', 'KOTA', 'ASIR', 'GRAN']"
BMS-16161-LI/00,0.0,0.0,1,15,"['CIT', 'ASHO', 'PHAR', 'SIL', 'CARG', 'CABO', 'SOY', 'CARS', 'CPRT', 'SFCL']"
BMS-16227-LC/00,0.0,0.0,1,19,"['LCEY', 'NIFL', 'RGEM', 'BOPL', 'MADU', 'MASK', 'CALF', 'SWAD', 'CWM', 'PEG']"
BMS-16231-LI/00,0.0,0.0,1,53,"['CFIN', 'GOOD', 'CINV', 'GRAN', 'DFCC', 'BFL', 'CCS', 'UDPL', 'NDB', 'SELI']"
BMS-16293-LI/00,0.0,0.0,1,16,"['AMF', 'WAPO', 'SFIN', 'HVA', 'UML', 'MBSL', 'NIFL', 'ABL', 'SEYB', 'DFCC']"
BMS-16324-LI/00,0.1,1.0,1,14,"['SAMP', 'JINS', 'PABC', 'MGT', 'BIL', 'RAL', 'AAIC', 'RICH', 'DIAL', 'TILE']"
BMS-16588-LI/00,0.0,0.0,1,10,"['TJL', 'CSD', 'HPFL', 'MCPL', 'HELA', 'LUMX', 'CTLD', 'MEL', 'AMSL', 'LPL']"
BMS-16592-LC/00,0.0,0.0,1,16,"['CCS', 'HHL', 'CINV', 'LVEF', 'JINS', 'CLND', 'CIC', 'CFLB', 'GREG', 'UBC']"
BMS-16645-LI/00,0.0,0.0,1,11,"['COCR', 'MARA', 'KVAL', 'CALT', 'JETS', 'RAL', 'ALLI', 'ELPL', 'STAF', 'BIL']"
BMS-16706-LI/00,0.0,0.0,1,15,"['SUN', 'LMF', 'HAYL', 'MGT', 'KVAL', 'CIC', 'SLTL', 'KOTA', 'ELPL', 'ASIY']"
BMS-16721-LI/00,0.0,0.0,1,25,"['AFSL', 'CALF', 'AFS', 'AINS', 'REEF', 'SLND', 'RGEM', 'CINS', 'UAL', 'PEG']"
BMS-16755-LC/00,0.1,1.0,1,16,"['PABC', 'SEYB', 'DFCC', 'GRAN', 'CCS', 'CALT', 'CFVF', 'JINS', 'COMB', 'DIAL']"
